index,corp_code,corp_name,corp_eng_name,stock_code,modify_date
76318,00350020,파인디앤씨,"FINE DNC CO.,LTD.",049120,
76319,00117382,디와이홀딩스,"DYHOLDINGS Co., Ltd.",004510,
76320,00125646,삼목에스폼,"SAMMOK S-FORM CO.,LTD.",018310,
76321,00131692,서흥,"SUHEUNG CO.,LTD.",008490,
76322,00122737,팬오션,"Pan Ocean Co., Ltd.",028670,
76375,00422284,메가스터디,"MegaStudyCo.,Ltd.",072870,
76376,00107677,비비안,VIVIEN CORPORATION,002070,
76377,00234227,유진로봇,"Yujin Robot Co., Ltd.",056080,
76380,00145668,이화공영,EehwaConstruction,001840,
76418,00527464,에이치시티,"HCT CO., LTD.",072990,
76465,00249982,솔본,"SOLBORN, Inc.",035610,
76478,00110608,DSR,DSR CORP,155660,
76555,00526836,미래나노텍,"MNTECHCo.,Ltd.",095500,
76566,01325429,네온테크,"Neontech Co., Ltd.",306620,
76568,01059605,디와이파워,DY POWER Corporation,210540,
76623,00131328,두함지개발,"Seojoo Industrial Development Co.,Ltd.",016140,
76625,00540429,휴림로봇,"Hyulim ROBOT Co.,Ltd.",090710,
76714,00398808,디지털대성,"Digital Daesung Co., Ltd.",068930,
76736,00124577,엠소닉,EMSONIC CORPORATION,008120,
76781,00128175,원익큐브,WONIK CUBE Corp.,014190,
76795,01344752,케어룸의료산업,"KAREROOM MEDICAL EQUIPMENT CO.,LTD.",327970,
76806,00163345,DB,DB Inc.,012030,
76813,00252001,해원에스티,"HAE WON STEELTECH.CO.,LTD",058480,
76861,00161709,퍼시스,FURSYS INC,016800,
76862,00265005,옴니시스템,"OmnisystemCo.,Ltd",057540,
76864,00626011,아이텍,"ITEK, Inc.",119830,
76865,00348034,액토즈소프트,"ACTOZ SOFT CO., LTD.",052790,
76941,00832700,에이펙스인텍,"APEX INTEC Co.,LTD.",207490,
76996,01261644,레인보우로보틱스,Rainbow Robotics,277810,
77019,00761059,펌텍코리아,"PUM-TECH KOREA CO., LTD.",251970,
77060,00622787,바이오노트,"BioNote, Inc.",377740,
77077,00676122,지디,"Global Display Co., Ltd.",155960,
77104,00136402,신송홀딩스,SINGSONGHOLDINGS,006880,
77114,01436336,이베스트기업인수목적5호,Ebest Special Purpose Acquisition No5 Company,349720,
77283,00155452,풍국주정,"Pungguk Ethanol Co.,Ltd.",023900,
77312,01021666,덕산테코피아,"Duksan Techopia Co., Ltd.",317330,
77335,00133335,성창기업지주,Sungchang Enterprise Holdings Limited.,000180,
77430,00123648,심팩인더스트리,"SIMPACINDUSTRIES CO., LTD",005350,
77431,00369833,유니온머티리얼,Union Materials Corp.,047400,
77568,00131054,유진증권,"EUGENE INVESTMENT & SECURITIES CO., LTD",001200,
77646,00982023,실리콘투,"SILICON 2 Co.,Ltd.",257720,
77667,00151368,인터지스,"INTERGIS CO., LTD",129260,
77670,00185356,제룡전기,"CHERYONG ELECTRIC CO.,LTD.",033100,
77678,00925967,이엠티,"Energy Material Technology Co., Ltd.",232530,
77732,00159698,지역난방공사,KOREA DISTRICT HEATING CORPORATION,071320,
77733,00128555,삼천리,"SAMCHULLY CO.,LTD",004690,
77847,00112679,대창단조,"DAECHANG FORGING CO.,LTD",015230,
77878,00131896,선광,"SUN KWANG Co.,Ltd",003100,
77905,01113949,퓨전,"Fusion Co.,Ltd",195440,
77962,01042650,큐리언트,"Qurient Co., Ltd.",115180,
77963,00359076,브리지텍,BRIDGETECCorp.,064480,
77964,00439965,나노신소재,"Advanced Nano Products Co., Ltd.",121600,
78041,01487446,씨엔알리서치,C&R Research Inc.,359090,
78063,00160205,한국내화,"KOREA REFRACTORIES CO.,LTD",010040,
78092,00628860,네오위즈,NEOWIZ,095660,
78123,00576789,디젠스,"Dgenx Co., Ltd.",113810,
78124,00360674,코위버,"COWEAVER Co.,Ltd.",056360,
78125,00133557,PN풍년,"PNPOONGNYUN CO.,LTD",024940,
78238,01073678,얼라인드,"Aligned Genetics, Inc.",238120,
78247,00268011,일레덱스홀딩스,"ELEDEX HOLDINGS CO.,LTD",033550,
78296,00129280,삼화전자공업,"SAMWHA ELECTRONICS CO.,LTD",011230,
78306,00141608,오리엔탈정공,"ORIENTAL PRECISION & ENGINEERING CO.,LTD.",014940,
78336,00130046,다함이텍,"DAHAAM e-TEC CO., LTD",009280,
78348,00404288,아진엑스텍,"AJINEXTEK Co., Ltd.",059120,
78349,00135467,승일,SEUNG IL Corporation,049830,
78403,01365825,피에스케이,PSK INC.,319660,
78544,00225159,SNT홀딩스,"SNT Holdings CO.,LTD ",036530,
78581,00260383,대한유화,"KOREA PETRO CHEMICAL IND CO.,LTD",006650,
78598,01301252,티이엠씨,"TEMC Co., Ltd.",425040,
78622,00579971,칩스앤미디어,"Chips&Media, Inc.",094360,
78631,01063556,질경이,"JILGYUNGYI CO.,LTD.",233990,
78632,00364847,이글루,IGLOO Corporation,067920,
78635,00883980,아이디스,"INTELLIGENT DIGITAL INTEGRATED SECURITY CO., LTD.",143160,
78636,00106395,금호전기,"KUMHO ELECTRIC CO.,LTD",001210,
78639,00104999,윌비스,"THE WILLBES & CO.,LTD",008600,
78665,00604426,인터로조,INTEROJO CO. LTD.,119610,
78690,00491053,진바이오텍,"GeneBioTechCo.,Ltd.",086060,
78707,01102095,쿠첸,"Cuchen Co., Ltd.",225650,
78766,00121543,무학,Muhak,033920,
78797,00359580,아이디스홀딩스,"IDIS Holdings Co., Ltd",054800,
78821,00145109,유한양행,YUHAN CORPORATION,000100,
78859,00363927,NE능률,"NE Neungyule, Inc.",053290,
78860,00201131,아즈텍WB,AZTECH WB CO. LTD,032080,
78861,00925189,신화콘텍,"Shin Hwa Contech Co.,Ltd.",187270,
78876,00148504,한국스탠다드차타드은행,Standard Chartered Bank Korea Ltd,000110,
78916,00132628,성문전자,"SUNGMOON ELECTRONICS CO.,LTD",014910,
